actual,predicted,probability,error,probability_range
0,0,0.27627421729415275,0,0.2-0.4
0,0,0.42543377032732344,0,0.4-0.6
0,0,0.11578966364586074,0,0.0-0.2
0,0,0.284879698245074,0,0.2-0.4
0,0,0.3312259808932836,0,0.2-0.4
1,1,0.5546966670884002,0,0.4-0.6
0,0,0.49192316241154416,0,0.4-0.6
0,0,0.4880510578070565,0,0.4-0.6
0,0,0.415608694046569,0,0.4-0.6
0,0,0.2727808024271204,0,0.2-0.4
0,0,0.26127287036059965,0,0.2-0.4
0,0,0.21050607438336835,0,0.2-0.4
0,0,0.40420284312035387,0,0.4-0.6
1,1,0.5393197254177287,0,0.4-0.6
0,0,0.31986949024635736,0,0.2-0.4
0,0,0.35334495845843594,0,0.2-0.4
0,0,0.2219924090375191,0,0.2-0.4
0,0,0.34091907763822993,0,0.2-0.4
0,0,0.17102928299355788,0,0.0-0.2
0,0,0.29598156217388727,0,0.2-0.4
0,0,0.15074251427214067,0,0.0-0.2
1,0,0.07530925913064791,1,0.0-0.2
1,1,0.5734044360862912,0,0.4-0.6
0,0,0.477617761656174,0,0.4-0.6
1,0,0.2692031435976368,1,0.2-0.4
1,0,0.2401428849349172,1,0.2-0.4
0,0,0.05610402092263501,0,0.0-0.2
1,1,0.5518327710436857,0,0.4-0.6
0,0,0.35820125345985043,0,0.2-0.4
1,1,0.62784038041676,0,0.6-0.8
0,0,0.21082170280151752,0,0.2-0.4
0,0,0.4877377554415113,0,0.4-0.6
1,0,0.43500396815247333,1,0.4-0.6
1,0,0.39939859733298216,1,0.2-0.4
0,0,0.4650906655843395,0,0.4-0.6
1,0,0.3588398199734761,1,0.2-0.4
0,0,0.17720980632696212,0,0.0-0.2
0,0,0.31685811951264947,0,0.2-0.4
0,0,0.03407968064634077,0,0.0-0.2
0,0,0.35663140254634873,0,0.2-0.4
0,0,0.37416401782040676,0,0.2-0.4
0,0,0.3343982893257624,0,0.2-0.4
0,0,0.4489724136896707,0,0.4-0.6
0,0,0.3259966956287912,0,0.2-0.4
0,0,0.35611859435842663,0,0.2-0.4
0,0,0.31671528126449294,0,0.2-0.4
0,0,0.30599258323084755,0,0.2-0.4
0,0,0.18406664880322018,0,0.0-0.2
0,0,0.4375785136418228,0,0.4-0.6
1,0,0.3635669094203648,1,0.2-0.4
0,0,0.3136388959207859,0,0.2-0.4
1,0,0.35663449005060555,1,0.2-0.4
0,0,0.21666145237272627,0,0.2-0.4
1,0,0.3743683773099749,1,0.2-0.4
0,0,0.31494119169266394,0,0.2-0.4
0,0,0.32210021647568854,0,0.2-0.4
1,0,0.29859641502188256,1,0.2-0.4
0,0,0.432732423451476,0,0.4-0.6
0,0,0.22840237845729272,0,0.2-0.4
0,0,0.2829826804695517,0,0.2-0.4
0,1,0.5007273524427094,1,0.4-0.6
0,0,0.46076544225559773,0,0.4-0.6
1,0,0.4308779236909325,1,0.4-0.6
0,0,0.3771006270101781,0,0.2-0.4
0,0,0.30644943712772343,0,0.2-0.4
0,1,0.5881724954031137,1,0.4-0.6
1,0,0.19593412157379886,1,0.0-0.2
0,0,0.1542592085317155,0,0.0-0.2
0,0,0.24383915141386853,0,0.2-0.4
